,game_id,year_id,fran_id,opp_fran,game_location,is_playoffs,pts,opp_pts,game_result,forecast,point_diff
22270,201012060CHI,2011,Thunder,Bulls,A,0,90,99,L,0.41116804,-9
22271,201012060NYK,2011,Knicks,Timberwolves,H,0,121,114,W,0.80900723,7
22272,201012070ATL,2011,Nets,Hawks,A,0,101,116,L,0.13442832,-15
22273,201012080BOS,2011,Celtics,Nuggets,H,0,105,89,W,0.75427616,16
22274,201012080MIN,2011,Thunder,Timberwolves,A,0,111,103,W,0.66469198,8
22275,201012080NYK,2011,Knicks,Raptors,H,0,113,110,W,0.7089498,3
22276,201012080SAS,2011,Spurs,Warriors,H,0,111,94,W,0.8823548,17
22277,201012090DAL,2011,Nets,Mavericks,A,0,89,102,L,0.093248606,-13
22278,201012090PHI,2011,Celtics,Sixers,A,0,102,101,W,0.71468109,1
22279,201012100NOH,2011,Thunder,Pelicans,A,0,97,92,W,0.40705031,5
22280,201012100SAS,2011,Spurs,Hawks,H,0,108,92,W,0.73786312,16
22281,201012100WAS,2011,Knicks,Wizards,A,0,101,95,W,0.55546212,6
22282,201012110CHA,2011,Celtics,Hornets,A,0,93,62,W,0.66540527,31
22283,201012120NJN,2011,Nets,Lakers,H,0,92,99,L,0.24050212,-7
22284,201012120NYK,2011,Knicks,Nuggets,H,0,129,125,W,0.49924338,4
22285,201012120OKC,2011,Thunder,Cavaliers,H,0,106,77,W,0.80417895,29
22286,201012120SAS,2011,Spurs,Trailblazers,H,0,95,78,W,0.78329402,17
22287,201012140NJN,2011,Nets,Sixers,H,0,77,82,L,0.4954437,-5
22288,201012150NYK,2011,Knicks,Celtics,H,0,116,118,L,0.34668574,-2
22289,201012150NYK,2011,Celtics,Knicks,A,0,118,116,W,0.65331423,2
22290,201012150OKC,2011,Thunder,Rockets,H,0,117,105,W,0.73127693,12
22291,201012150SAS,2011,Spurs,Bucks,H,0,92,90,W,0.81465375,2
22292,201012160BOS,2011,Celtics,Hawks,H,0,102,90,W,0.81817746,12
22293,201012160DEN,2011,Spurs,Nuggets,A,0,113,112,W,0.45868438,1
22294,201012160NJN,2011,Nets,Wizards,H,0,97,89,W,0.64014673,8
22295,201012170NYK,2011,Knicks,Heat,H,0,91,113,L,0.43025428,-22
22296,201012170OKC,2011,Thunder,Kings,H,0,102,87,W,0.89831305,15
22297,201012170TOR,2011,Nets,Raptors,A,0,92,98,L,0.27639413,-6
22298,201012180CLE,2011,Knicks,Cavaliers,A,0,102,109,L,0.4701162,-7
22299,201012180SAS,2011,Spurs,Grizzlies,H,0,112,106,W,0.84969306,6
22300,201012190BOS,2011,Celtics,Pacers,H,0,99,88,W,0.854298,11
22301,201012190NJN,2011,Nets,Hawks,H,0,89,82,W,0.34356594,7
22302,201012190OKC,2011,Thunder,Suns,H,0,110,113,L,0.66665274,-3
22303,201012200SAS,2011,Spurs,Suns,H,0,118,110,W,0.77401155,8
22304,201012210CHA,2011,Thunder,Hornets,A,0,99,81,W,0.56244659,18
22305,201012210MEM,2011,Nets,Grizzlies,A,0,101,94,W,0.21807182,7
22306,201012220BOS,2011,Celtics,Sixers,H,0,84,80,W,0.88946718,4
22307,201012220NOH,2011,Nets,Pelicans,A,0,91,105,L,0.20232296,-14
22308,201012220NYK,2011,Knicks,Thunder,H,0,112,98,W,0.49168915,14
22309,201012220NYK,2011,Thunder,Knicks,A,0,98,112,L,0.50831085,-14
22310,201012220SAS,2011,Spurs,Nuggets,H,0,109,103,W,0.74341929,6
22311,201012230ORL,2011,Spurs,Magic,A,0,101,123,L,0.49465835,-22
22312,201012250NYK,2011,Knicks,Bulls,H,0,103,95,W,0.5178417,8
22313,201012250OKC,2011,Thunder,Nuggets,H,0,114,106,W,0.60565442,8
22314,201012250ORL,2011,Celtics,Magic,A,0,78,86,L,0.52139008,-8
22315,201012260SAS,2011,Spurs,Wizards,H,0,94,80,W,0.91737109,14
22316,201012270NJN,2011,Nets,Magic,H,0,88,104,L,0.29375249,-16
22317,201012270OKC,2011,Thunder,Mavericks,H,0,93,103,L,0.51705933,-10
22318,201012280IND,2011,Celtics,Pacers,A,0,95,83,W,0.66857773,12
22319,201012280MIA,2011,Knicks,Heat,A,0,98,106,L,0.15976208,-8
22320,201012280SAS,2011,Spurs,Lakers,H,0,97,82,W,0.69387394,15
22321,201012290DET,2011,Celtics,Pistons,A,0,92,104,L,0.79735029,-12
22322,201012290OKC,2011,Nets,Thunder,A,0,93,114,L,0.14521998,-21
22323,201012290OKC,2011,Thunder,Nets,H,0,114,93,W,0.85478002,21
22324,201012300DAL,2011,Spurs,Mavericks,A,0,99,93,W,0.39691138,6
22325,201012300ORL,2011,Knicks,Magic,A,0,103,112,L,0.20438272,-9
22326,201012310BOS,2011,Celtics,Pelicans,H,0,81,83,L,0.85615057,-2
22327,201012310CHI,2011,Nets,Bulls,A,0,81,90,L,0.13303709,-9
22328,201012310OKC,2011,Thunder,Hawks,H,0,103,94,W,0.64043921,9
22329,201101010MIN,2011,Nets,Timberwolves,A,0,88,103,L,0.39153409,-15
22330,201101010SAS,2011,Thunder,Spurs,A,0,74,101,L,0.22741479,-27
22331,201101010SAS,2011,Spurs,Thunder,H,0,101,74,W,0.77258521,27
22332,201101020NYK,2011,Knicks,Pacers,H,0,98,92,W,0.6657688,6
22333,201101020TOR,2011,Celtics,Raptors,A,0,93,79,W,0.74637759,14
22334,201101030BOS,2011,Celtics,Timberwolves,H,0,96,93,W,0.9316203,3
22335,201101040MEM,2011,Thunder,Grizzlies,A,0,105,110,L,0.44387627,-5
22336,201101040NYK,2011,Spurs,Knicks,A,0,115,128,L,0.63807416,-13
22337,201101040NYK,2011,Knicks,Spurs,H,0,128,115,W,0.36192587,13
